yyyy,mm,maxC,minC
1992,5,19.4,7.9
1992,6,21.4,9.4
1992,7,20.9,12.6
1992,8,20.3,12.3
1992,9,17.8,10.6
1992,10,12.6,3.4
1992,11,12.4,4.2
1992,12,7.7,0.6
1993,1,10.2,3.2
1993,2,7.9,2.3
1993,3,10.8,1.4
1993,4,13.8,5.8
1993,5,16.9,7.8
1993,6,20.4,10.1
1993,7,20.6,11.1
1993,8,20.8,9.3
1993,9,17.3,7.8
1993,10,12.8,5.3
1993,11,9.4,0.3
1993,12,9.7,2.8
1994,1,9.4,2.1
1994,2,8.2,0.2
1994,3,11.8,4.5
1994,4,12.5,3.9
1994,5,15.1,7.3
1994,6,19.8,9.2
1994,7,23.9,12.4
1994,8,21.9,12
1994,9,18,9
1994,10,15.8,5.4
1994,11,13.6,8.4
1994,12,10.9,3.1
1995,1,9.2,1.9
1995,2,10.8,4.4
1995,3,10.8,0.6
1995,4,14.1,4.2
1995,5,17.6,6
1995,6,21.3,9.3
1995,7,24.6,13.4
1995,8,26.9,12.8
1995,9,19,8.9
1995,10,17.3,9.6
1995,11,12.3,3.6
1995,12,6.2,0.8
1996,1,7.9,3.7
1996,2,6.9,-1.1
1996,3,8.8,1.4
1996,4,13.2,3.9
1996,5,14.2,4.7
1996,6,19.8,8.4
1996,7,22.6,10.9
1996,8,22,10.9
1996,9,18.7,8.5
1996,10,16,8.4
1996,11,10.8,1.8
1996,12,6.4,0.8
1997,1,5.6,-1
1997,2,10.4,3.7
1997,3,12.7,3.7
1997,4,15.2,1.7
1997,5,17.3,6.7
1997,6,18.7,11
1997,7,22.5,11.3
1997,8,23.3,14.7
1997,9,19.9,8.3
1997,10,16.3,6.3
1997,11,12.8,4.8
1997,12,10,2.4
1998,1,9.3,2.4
1998,2,11,1.6
1998,3,12,4.8
1998,4,12.2,4.1
1998,5,19.7,8.7
1998,6,18.7,11
1998,7,20.2,11.7
1998,8,22.7,9.9
1998,9,19.8,11
1998,10,15.3,7.7
1998,11,10.8,2.5
1998,12,9.9,2.2
1999,1,10,2.5
1999,2,9.2,2.1
1999,3,11.7,2.4
1999,4,14,4.8
1999,5,18.1,8.7
1999,6,19.3,8.5
1999,7,24,12
1999,8,21.5,12.2
1999,9,20.4,11.4
1999,10,15.7,6.1
1999,11,11.3,4.1
1999,12,9.2,1.6
2000,1,8.8,0
2000,2,10.6,2.7
2000,3,12,2.9
2000,4,12.2,3.9
2000,5,17.4,8.4
2000,6,19.1,10.5
2000,7,20.9,11.2
2000,8,22.5,11.7
2000,9,19.5,11.1
2000,10,15,7.1
2000,11,11.3,3.3
2000,12,9.2,4.4
2001,1,7.9,0.8
2001,2,9.4,1.2
2001,3,9.9,3.4
2001,4,12.3,4.4
2001,5,18,6.8
2001,6,19.9,8.8
2001,7,22.3,12
2001,8,21.6,12.3
2001,9,19,9.6
2001,10,17,11
2001,11,11.6,2.6
2001,12,7.8,-0.4
2002,1,9.9,3
2002,2,11,4.4
2002,3,12.1,3.6
2002,4,15,4.7
2002,5,16.3,8.1
2002,6,18.4,10
2002,7,20.7,11.6
2002,8,21.8,12
2002,9,20,8.9
2002,10,15.2,6.9
2002,11,13,6.9
2002,12,9.3,4.7
2003,1,8.4,0.8
2003,2,8.6,0.8
2003,3,13.1,2.8
2003,4,15.2,4
2003,5,16.2,7.4
2003,6,20.6,11
2003,7,22,12.9
2003,8,24.9,12.7
2003,9,20.3,7.9
2003,10,14.8,4.8
2003,11,12.5,5
2003,12,9.5,2.5
2004,1,9.3,2.6
2004,2,8.9,2
2004,3,10.8,2.4
2004,4,13.6,4.6
2004,5,17.4,6.8
2004,6,21.4,10.6
2004,7,21.2,11.6
2004,8,22.1,13.1
2004,9,20.3,11.2
2004,10,15,7.2
2004,11,11.7,4.6
2004,12,9.1,1
2005,1,9.7,3.1
2005,2,7.8,1.4
2005,3,11.5,3.2
2005,4,13.8,4.9
2005,5,16.1,6.9
2005,6,20.6,11
2005,7,22,12.8
2005,8,22,10.6
2005,9,20.8,10.1
2005,10,17.1,10.4
2005,11,10.8,1.5
2005,12,8.6,-1
2006,1,8,1.6
2006,2,7.2,0.3
2006,3,9.3,2.2
2006,4,13.7,4.8
2006,5,16.7,8.3
2006,6,21.4,10.4
2006,7,25.5,13.4
2006,8,22.1,13
2006,9,21.3,12.6
2006,10,17.4,10.2
2006,11,13.1,4
2006,12,9.9,4
2007,1,10.4,4.6
2007,2,10.2,3.8
2007,3,12.3,3
2007,4,18.5,5.6
2007,5,17.7,8.5
2007,6,19.8,12
2007,7,19.9,11.7
2007,8,20.9,10.8
2007,9,19.5,8.9
2007,10,15.6,6.5
2007,11,12,2.7
2007,12,9.2,1.9
2008,1,10.5,3.4
2008,2,10.9,-0.5
2008,3,10.9,2.9
2008,4,13.3,3.8
2008,5,19.3,9.1
2008,6,19.6,9.8
2008,7,21.1,12
2008,8,19.9,13.2
2008,9,18.4,9
2008,10,14.6,5.1
2008,11,11.1,4.6
2008,12,7.7,-0.2
2009,1,7.1,-0.4
2009,2,8.3,1
2009,3,12.3,1.4
2009,4,14.2,5.1
2009,5,17.7,7.7
2009,6,21,10.2
2009,7,20.4,13
2009,8,21.2,12.4
2009,9,19.8,9.4
2009,10,16.3,8.2
2009,11,12.9,6.9
2009,12,7.6,-0.2
2010,1,5.2,-2.1
2010,2,7.3,0.6
2010,3,10.5,2
2010,4,14.6,2.8
2010,5,17,5.5
2010,6,22,9.2
2010,7,22.8,13.3
2010,8,21,11.2
2010,9,19,9
2010,10,15.6,6.5
2010,11,9.8,2.7
2010,12,3.9,-3.4
2011,1,7.7,1.8
2011,2,10.4,3
2011,3,12.3,1.8
2011,4,18.3,5.7
2011,5,17.7,7.6
2011,6,19.5,9.5
2011,7,20.6,10.4
2011,8,20.4,11.6
2011,9,19.8,11.3
2011,10,17.3,8.6
2011,11,14,6.9
2011,12,10.6,3.2
2012,1,10.1,2.3
2012,2,8.4,0.4
2012,3,14.4,2
2012,4,12.7,2.8
2012,5,17.6,7.8
2012,6,17.8,11.3
2012,7,20,11.4
2012,8,21.2,13.1
2012,9,18.9,8.1
2012,10,14.4,7.4
2012,11,11.2,3.4
2012,12,9.9,2
2013,1,7.4,2.5
2013,2,7,0.2
2013,3,7.2,0.4
2013,4,12,3
2013,5,15.9,5.7
2013,6,19.6,9.9
2013,7,25.4,12.3
2013,8,22.9,11.8
2013,9,19.9,9.3
2013,10,16.9,9.4
2013,11,10.8,2.9
2013,12,10.8,2.1
2014,1,10.3,2.5
2014,2,10.4,4
2014,3,12.9,2.7
2014,4,14.7,5.5
2014,5,16.8,8.1
2014,6,21.1,10.6
2014,7,24.5,12.4
2014,8,21.2,10.6
2014,9,21.3,9.9
2014,10,16.8,9.7
2014,11,12.6,5.9
2014,12,9.6,1.3
2015,1,9.6,1.4
2015,2,8.2,-0.2
2015,3,11.1,2.5
2015,4,15.6,3.9
2015,5,16.2,7.6
2015,6,20.5,9.7
2015,7,21.5,12.1
2015,8,20.5,11.8
2015,9,18.7,8
2015,10,15.5,7.1
2015,11,13.4,7.9
2015,12,13.5,9.2
2016,1,10,2.1
2016,2,9.6,2.7
2016,3,10.9,1.4
2016,4,12.9,3.2
