yyyy,mm,maxC,minC
1966,5,15.5,7.1
1966,6,20.1,11.6
1966,7,19.1,12
1966,8,19.6,11.2
1966,9,18.9,11.3
1966,10,14.7,9.4
1966,11,8.7,3.8
1966,12,8.3,2
1967,1,6.6,2
1967,2,8.6,3
1967,3,11.3,3.6
1967,4,11,4.3
1967,5,15.3,7.6
1967,6,18.3,10.8
1967,7,22.6,13.8
1967,8,21.1,12.7
1967,9,18.7,11.3
1967,10,15.2,8.7
1967,11,9.3,3.5
1967,12,6.6,1.8
1968,1,6.3,1.8
1968,2,4.9,1.1
1968,3,10.2,3.2
1968,4,12.7,4.5
1968,5,14.2,7.2
1968,6,18.7,10.6
1968,7,19.3,12.3
1968,8,19.1,13.3
1968,9,18.4,11.6
1968,10,16,10.5
1968,11,9.4,5.3
1968,12,5.1,1.2
1969,1,8.1,3.5
1969,2,4,-0.6
1969,3,7.2,2.1
1969,4,12,3.9
1969,5,15.8,8.3
1969,6,18,10.3
1969,7,21.8,13.8
1969,8,20.6,13.7
1969,9,18.6,12.2
1969,10,17.3,9.7
1969,11,10,3.9
1969,12,5,1.3
1970,1,6.3,2.2
1970,2,6.7,0.6
1970,3,7,0.5
1970,4,10.2,3.7
1970,5,16.8,8.6
1970,6,20.6,11.8
1970,7,20.5,12.4
1970,8,20.6,13.3
1970,9,19.4,11.5
1970,10,15.3,9
1970,11,11.4,5.7
1970,12,6.9,2.4
1971,1,7,2.2
1971,2,7.8,2.5
1971,3,7.9,2.1
1971,4,10.1,5.2
1971,5,15.6,8
1971,6,16.3,9.9
1971,7,21.1,12.7
1971,8,20.1,13.6
1971,9,19,10.5
1971,10,16.6,8.6
1971,11,10.2,3.7
1971,12,9,4.4
1972,1,5.9,1.3
1972,2,7.2,2.5
1972,3,11.3,2.9
1972,4,11.5,5.8
1972,5,15,7.6
1972,6,16.7,8.8
1972,7,19.7,12.8
1972,8,19.7,12.5
1972,9,16.3,10.4
1972,10,14.2,8.9
1972,11,9.6,3.8
1972,12,8.8,3.3
1973,1,7.2,2.4
1973,2,7.3,1.1
1973,3,10.2,2.6
1973,4,10.8,4
1973,5,15.5,8.2
1973,6,19.8,11.4
1973,7,20.6,12.8
1973,8,22.1,14
1973,9,19.6,11.9
1973,10,13.7,7.7
1973,11,9.7,3.4
1973,12,8.1,2.6
1974,1,9.2,3.6
1974,2,8.4,2.8
1974,3,9.2,3.1
1974,4,12,6
1974,5,15.8,7.4
1974,6,18,10.5
1974,7,20,12
1974,8,20.8,12.4
1974,9,17,9.4
1974,10,10.7,5.6
1974,11,10.5,4.5
1974,12,10.6,5.4
1975,1,9.7,4.1
1975,2,8.4,2.8
1975,3,7.6,3
1975,4,11.6,4.2
1975,5,13,7
1975,6,18.4,9.4
1975,7,21.6,12.9
1975,8,23.8,14.5
1975,9,19,11.2
1975,10,13.6,8
1975,11,9.3,3.5
1975,12,7,1.8
1976,1,7.9,3.3
1976,2,6.7,1.7
1976,3,8,2
1976,4,11.2,4.1
1976,5,17.8,8.5
1976,6,22.8,12.9
1976,7,22.9,14.9
1976,8,21.9,14.4
1976,9,17.7,11.3
1976,10,14.7,9.5
1976,11,10.1,4.8
1976,12,5.6,0.5
1977,1,5.8,1.4
1977,2,8.6,3.3
1977,3,10.5,4.5
1977,4,11.1,3.9
1977,5,13.7,7.7
1977,6,16.3,9.8
1977,7,19.5,12.8
1977,8,19.6,12.6
1977,9,17.5,10.9
1977,10,16,9.3
1977,11,10.1,4.9
1977,12,8.8,4.6
1978,1,6.2,0.8
1978,2,5.2,1.1
1978,3,10.6,3.1
1978,4,9.3,3.8
1978,5,14,7.7
1978,6,18.3,10.5
1978,7,18.9,12
1978,8,20,12.3
1978,9,19,11.2
1978,10,15.6,9
1978,11,11.8,6.2
1978,12,7.7,3.1
1979,1,3,-2.2
1979,2,4,-0.3
1979,3,8.5,2.1
1979,4,11.7,4.3
1979,5,15.4,6.4
1979,6,18,10.2
1979,7,21.1,13.1
1979,8,19.7,12
1979,9,18.5,10.6
1979,10,15.5,9.6
1979,11,10.4,3.7
1979,12,8.7,4
1980,1,5.4,0.4
1980,2,9.1,2.9
1980,3,8.2,2.8
1980,4,12,5.1
1980,5,14.2,7.8
1980,6,18.7,10.4
1980,7,18.8,12
1980,8,20.9,13.3
1980,9,19.7,11.6
1980,10,13.6,6.6
1980,11,8.9,4.5
1980,12,7.9,2.6
1981,1,7.4,1.9
1981,2,6.1,0.2
1981,3,11,5.8
1981,4,10.6,5.1
1981,5,15.5,7.9
1981,6,17.1,10.4
1981,7,19.8,12.7
1981,8,21.1,13.1
1981,9,19.3,11.6
1981,10,12.6,6.5
1981,11,10.9,5.2
1981,12,4.4,0.1
1982,1,6.7,1.4
1982,2,7,2.1
1982,3,9.6,2.5
1982,4,11.7,4.9
1982,5,16.8,8.1
1982,6,19.9,12.5
1982,7,20.9,13.9
1982,8,21.6,13.4
1982,9,20.2,12.1
1982,10,13.8,8.3
1982,11,11.4,6.1
1982,12,7.7,2.2
1983,1,9.2,3.9
1983,2,4.4,0.1
1983,3,9.8,3.1
1983,4,11.6,4
1983,5,14.2,7
1983,6,18.1,11.5
1983,7,23.2,14.8
1983,8,21.6,14.8
1983,9,18.4,11.2
1983,10,15.1,8
1983,11,11,5.7
1983,12,8.4,3.1
1984,1,7.4,1.3
1984,2,6.4,1.7
1984,3,7.6,2.4
1984,4,11.6,4
1984,5,12.2,7.1
1984,6,18.7,10.2
1984,7,21.5,12.9
1984,8,22.3,13.8
1984,9,17.7,11
1984,10,15.2,8.3
1984,11,12.4,6.9
1984,12,8.7,2.9
1985,1,3.5,-2.4
1985,2,4.8,-0.5
1985,3,8.1,1.3
1985,4,12.5,5.2
1985,5,14.4,7.7
1985,6,17,9.9
1985,7,21.3,13.2
1985,8,19.6,11.5
1985,9,20.1,11.2
1985,10,15.3,9.4
1985,11,7.6,1.8
1985,12,9.4,4.9
1986,1,6.7,1
1986,2,1.1,-2.8
1986,3,8.6,1.3
1986,4,9.7,2.9
1986,5,16,7.3
1986,6,18.8,11.2
1986,7,21.3,13.3
1986,8,19.2,11.3
1986,9,16.4,9.5
1986,10,15.5,9
1986,11,11.5,4.8
1986,12,9,2.9
1987,1,2.5,-1.3
1987,2,6.6,0.9
1987,3,6.8,0.7
1987,4,14.4,6
1987,5,13.9,7.2
1987,6,17.2,10.2
1987,7,20.3,13.3
1987,8,20.8,12.8
1987,9,19,12
1987,10,14.7,8.5
1987,11,9.9,5.7
1987,12,8.3,3.9
1988,1,8.8,3.1
1988,2,7.7,2.2
1988,3,9.4,3.7
1988,4,11.8,5.6
1988,5,15.5,9
1988,6,17.1,10.8
1988,7,20,12
1988,8,21.1,12.5
1988,9,18,11.2
1988,10,15.1,9.4
1988,11,9.6,3.8
1988,12,9.4,4.7
1989,1,8.7,3.1
1989,2,9.4,3
1989,3,11.9,4.7
1989,4,10.3,4.8
1989,5,17.7,9.1
1989,6,19.1,10.9
1989,7,22.8,14.7
1989,8,22.9,13.8
1989,9,19.8,13.2
1989,10,16.4,10.4
1989,11,10.5,4.2
1989,12,9.3,4.2
1990,1,9.3,3.9
1990,2,11,4.8
1990,3,12.4,4.9
1990,4,12.5,4.8
1990,5,17.6,9
1990,6,18.4,10.1
1990,7,21.9,12.5
1990,8,24.3,14.4
1990,9,18.3,10.5
1990,10,15.8,9.6
1990,11,10.2,5.4
1990,12,7.1,2.5
1991,1,7,2.3
1991,2,4.4,-1
1991,3,11.5,5.4
1991,4,11.9,4.8
1991,5,13.8,6.9
1991,6,16.6,9.1
1991,7,21.2,13.6
1991,8,22.8,14
1991,9,19.7,11.9
1991,10,13.9,7.8
1991,11,9.8,4.2
1991,12,8.2,2.4
1992,1,6.6,1.8
1992,2,8.6,1.7
1992,3,10.8,4.4
1992,4,12.9,5
1992,5,18.4,9.5
1992,6,19.8,12
1992,7,21.5,13.7
1992,8,20.8,13.2
1992,9,18.4,10.8
1992,10,12.2,6
1992,11,11.4,4.7
1992,12,7.4,2.5
1993,1,9.3,2.7
1993,2,6.1,1.9
1993,3,10.4,2.9
1993,4,13.5,6.1
1993,5,15.7,8.9
1993,6,19.6,11.7
1993,7,20.8,12.4
1993,8,20.6,12.3
1993,9,16.8,10.7
1993,10,12.8,7.9
1993,11,8,2.8
1993,12,8.7,2.9
1994,1,8.7,2.2
1994,2,6.8,0.9
1994,3,11.6,4.4
1994,4,12.3,4.6
1994,5,14.8,8.2
1994,6,19.7,10.7
1994,7,24.1,14.8
1994,8,22,13.7
1994,9,17.1,10.5
1994,10,14.3,7.2
1994,11,13,8.1
1994,12,10.2,3.7
1995,1,8,2.1
1995,2,10.2,4.2
1995,3,10.2,2
1995,4,12.9,5.8
1995,5,17.2,7.3
1995,6,17.8,10.5
1995,7,24.3,14.8
1995,8,23.7,15.8
1995,9,18.3,11.2
1995,10,17.5,9.7
1995,11,11.2,5.8
1995,12,5.7,1.4
1996,1,6.2,2.4
1996,2,5.5,-0.1
1996,3,6.9,1.6
1996,4,13.1,4.8
1996,5,13.3,6.3
1996,6,19.9,10.4
1996,7,21.7,12.3
1996,8,21.8,13
1996,9,17.3,11.5
1996,10,15.3,8.5
1996,11,9.9,3.6
1996,12,6.1,1.7
1997,1,4.4,-0.3
1997,2,9.8,3.2
1997,3,12.2,4.7
1997,4,13.1,4.6
1997,5,16.7,7.6
1997,6,18.7,11.6
1997,7,21.5,13
1997,8,25.1,16.2
1997,9,19.9,11.3
1997,10,15,7.6
1997,11,11.7,5.9
1997,12,8.9,3.6
1998,1,8.5,3
1998,2,10.4,3.1
1998,3,11.3,5.3
1998,4,12.3,5
1998,5,16.8,9.7
1998,6,19.1,11.4
1998,7,20.4,12.7
1998,8,22.5,12.9
1998,9,18.9,12.6
1998,10,14.1,8.4
1998,11,8.9,3.2
1998,12,8.8,3.5
1999,1,9,3.5
1999,2,7.7,2
1999,3,10.9,4.5
1999,4,13.2,6.3
1999,5,17.3,9.6
1999,6,18.7,10.9
1999,7,22.2,14.7
1999,8,21.5,14.1
1999,9,20.5,14
1999,10,15,8.8
1999,11,10.8,6.5
1999,12,8.2,2.9
2000,1,7.9,2.7
2000,2,9.6,3.6
2000,3,10.8,4.7
2000,4,12,5.9
2000,5,15.8,9.2
2000,6,19.7,11.7
2000,7,18.9,11.9
2000,8,21.9,13.8
2000,9,19.8,12.8
2000,10,14.8,8.6
2000,11,10.7,5.1
2000,12,8.7,4.6
2001,1,6.8,1.9
2001,2,7.7,2.8
2001,3,8.6,3.9
2001,4,11.6,5.7
2001,5,16.4,9.4
2001,6,19.1,11.2
2001,7,22.1,14.2
2001,8,22.2,14.9
2001,9,17,11.1
2001,10,17.3,11.7
2001,11,10.9,5.5
2001,12,7.1,2.9
2002,1,8.6,3.4
2002,2,10.6,5.2
2002,3,11.3,5.2
2002,4,13.5,6.3
2002,5,15.6,9.3
2002,6,19.5,12
2002,7,20.6,13.4
2002,8,22.2,14.9
2002,9,18.5,12.8
2002,10,14.3,8.7
2002,11,12.1,6.9
2002,12,8.4,5
2003,1,7.6,2.9
2003,2,6.7,1.6
2003,3,10.7,4.2
2003,4,13.2,5.9
2003,5,16.7,8.5
2003,6,21.3,13
2003,7,22.7,14.6
2003,8,23.9,15.4
2003,9,20.3,11.3
2003,10,13.2,7.2
2003,11,11.9,6.7
2003,12,8.5,3.3
2004,1,8,2.8
2004,2,7.6,3.6
2004,3,9.8,4
2004,4,13.3,6.2
2004,5,15.9,8.5
2004,6,20.5,12
2004,7,21.1,13.1
2004,8,22.1,14.9
2004,9,19.2,12
2004,10,15.1,9.3
2004,11,10.6,5.9
2004,12,8.2,3
2005,1,8.6,3.4
2005,2,6.3,2
2005,3,9.7,3.5
2005,4,13.3,5.9
2005,5,15.9,8.4
2005,6,20.2,12
2005,7,21.1,13.5
