yyyy,mm,maxC,minC
1913,11,10.4,4.3
1913,12,6.7,1.6
1914,1,6.1,0.7
1914,2,9.1,3
1914,3,8.4,1.6
1914,4,14.7,3.2
1914,5,14.1,4.9
1914,6,18.9,7.8
1914,7,19,10.3
1914,8,19.5,10
1914,9,17.4,7.2
1914,10,13,6.2
1914,11,9,3.1
1914,12,6,0.9
1915,1,5.6,0.8
1915,2,6.2,0.4
1915,3,8.4,0.8
1915,4,11.3,2.4
1915,5,12.8,3.8
1915,6,17.8,7.5
1915,7,18.4,9.6
1915,8,19,10
1915,9,16.5,7.2
1915,10,11.7,4.1
1915,11,5.7,-0.3
1915,12,5.8,1.2
1916,1,9.8,3.7
1916,2,5.7,-0.2
1916,3,4.5,-0.3
1916,4,11.7,2.7
1916,5,14.5,5.3
1916,6,14.6,6.8
1916,7,19.5,10
1916,8,20,10.7
1916,9,16.3,7.6
1916,10,12.5,4.9
1916,11,9.5,3.8
1916,12,4.7,-0.9
1917,1,3.3,0
1917,2,3.8,-2
1917,3,5.9,-1.4
1917,4,8.5,0.2
1917,5,15.2,5.5
1917,6,18.7,7.8
1917,7,20.2,9.9
1917,8,18.7,11
1917,9,17.3,8.9
1917,10,11.2,2.8
1917,11,10.5,4.6
1917,12,4.8,-0.3
1918,1,5.8,-0.3
1918,2,8.1,2.3
1918,3,8,1.3
1918,4,8.9,2.4
1918,5,16.9,6.3
1918,6,17.9,7
1918,7,19.7,9.7
1918,8,19.2,10.8
1918,9,14.2,6.4
1918,10,11.8,5.3
1918,11,8,0.8
1918,12,7.9,2.3
1919,1,3.9,-0.5
1919,2,3.9,-1.7
1919,3,5.8,-1
1919,4,11.1,2.5
1919,5,16.8,5.6
1919,6,18.3,8
1919,7,17.4,8.4
1919,8,19.9,9.7
1919,9,17.2,7.2
1919,10,11.8,2.6
1919,11,5.4,-0.5
1919,12,6.3,0.9
1920,1,6.9,0.9
1920,2,8.5,1.4
1920,3,9.8,2
1920,4,9.7,3.2
1920,5,14.7,6
1920,6,17.7,7.7
1920,7,17,9.6
1920,8,17.5,8
1920,9,16.9,7.3
1920,10,13,5.5
1920,11,9.2,3.7
1920,12,6.2,0.7
1921,1,8.7,2.3
1921,2,7.3,0.8
1921,3,10.1,2.1
1921,4,12.4,2.4
1921,5,15.8,4.6
1921,6,19,7.3
1921,7,21.2,10.5
1921,8,17.8,9.7
1921,9,17.7,8.1
1921,10,16.2,7.7
1921,11,6.8,0.5
1921,12,9.3,2.7
1922,1,4.1,-1.5
1922,2,5.8,-0.3
1922,3,6.8,0.5
1922,4,8.7,-0.1
1922,5,16.2,6.4
1922,6,18,7.3
1922,7,17,8.1
1922,8,16.5,8.4
1922,9,14.1,6.8
1922,10,11.1,4.1
1922,11,9.1,2.1
1922,12,7.5,1.8
1923,1,8.6,2.5
1923,2,5.7,1.1
1923,3,8.5,1.8
1923,4,9,2.3
1923,5,11.6,3.4
1923,6,15.5,7.1
1923,7,20.7,11.3
1923,8,18.7,10.1
1923,9,15.5,7.3
1923,10,12.2,4.5
1923,11,5.8,-0.1
1923,12,4.8,-0.5
1924,1,5.7,0.1
1924,2,5.8,0
1924,3,6.9,-2.7
1924,4,9.9,1.5
1924,5,13.1,5.9
1924,6,16.7,7.6
1924,7,18.4,10
1924,8,17.2,9.1
1924,9,15.6,8.6
1924,10,12.7,5.6
1924,11,9,3.6
1924,12,8.6,3.5
1925,1,6.8,1.2
1925,2,6.7,0.7
1925,3,7.7,1.3
1925,4,10.1,2.1
1925,5,14.2,6.1
1925,6,18.1,7.9
1925,7,21.1,10.9
1925,8,18.3,9.8
1925,9,14.5,6.1
1925,10,13.5,4.8
1925,11,5.8,-0.8
1925,12,4.3,-1.2
1926,1,5.9,0.7
1926,2,7.8,2.4
1926,3,8.9,1.8
1926,4,12.6,3.3
1926,5,12.7,4
1926,6,17.1,8
1926,7,20.3,11.5
1926,8,20,10.5
1926,9,17.1,8.6
1926,10,10.6,2.9
1926,11,7.7,1.4
1926,12,6.9,1.1
1927,1,6.6,0.7
1927,2,7.1,0.1
1927,3,9.5,2.4
1927,4,10.7,2.4
1927,5,12.5,4
1927,6,15.3,6
1927,7,18.1,10.3
1927,8,18.6,9.9
1927,9,15,7.5
1927,10,13.1,5.2
1927,11,8.1,2.1
1927,12,3,-0.8
1928,1,7,0.6
1928,2,8.1,1.1
1928,3,7.3,1.2
1928,4,10.9,2.5
1928,5,12.5,4.5
1928,6,15.1,6.5
1928,7,19,9.9
1928,8,18.7,9.9
1928,9,15.7,7
1928,10,12.1,5
1928,11,9.7,3.7
1928,12,5.3,-0.7
1929,1,3.4,-0.9
1929,2,2.2,-3.6
1929,3,11.7,0.8
1929,4,9,0.9
